Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
    diehard_rank_6x8|   0|    100000|     100|0.40764933|  PASSED
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.94735075|  PASSED
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.70170155|  PASSED
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.69766031|  PASSED
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.11261040|  PASSED
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.84530690|  PASSED
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.72629715|  PASSED
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.97877193|  PASSED
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.90845144|  PASSED
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.85114034|  PASSED
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.99187582|  PASSED
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.00615781|  PASSED
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.43117161|  PASSED
        diehard_runs|   0|    100000|     100|0.65787139|  PASSED
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.32250072|  PASSED
       diehard_craps|   0|    200000|     100|0.78703693|  PASSED
# The file file_input_raw was rewound 12 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00010057|   WEAK
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18741448|  PASSED
# The file file_input_raw was rewound 12 times
         sts_monobit|   1|    100000|     100|0.90697375|  PASSED
# The file file_input_raw was rewound 12 times
            sts_runs|   2|    100000|     100|0.49932614|  PASSED
# The file file_input_raw was rewound 12 times
          sts_serial|   1|    100000|     100|0.56737200|  PASSED
          sts_serial|   2|    100000|     100|0.63115640|  PASSED
          sts_serial|   3|    100000|     100|0.15683405|  PASSED
          sts_serial|   3|    100000|     100|0.02756621|  PASSED
          sts_serial|   4|    100000|     100|0.30225580|  PASSED
          sts_serial|   4|    100000|     100|0.59778913|  PASSED
          sts_serial|   5|    100000|     100|0.68517424|  PASSED
          sts_serial|   5|    100000|     100|0.77384751|  PASSED
          sts_serial|   6|    100000|     100|0.19417777|  PASSED
          sts_serial|   6|    100000|     100|0.32786440|  PASSED
          sts_serial|   7|    100000|     100|0.79232845|  PASSED
          sts_serial|   7|    100000|     100|0.76297850|  PASSED
          sts_serial|   8|    100000|     100|0.62794384|  PASSED
          sts_serial|   8|    100000|     100|0.17513808|  PASSED
          sts_serial|   9|    100000|     100|0.62798537|  PASSED
          sts_serial|   9|    100000|     100|0.18982982|  PASSED
          sts_serial|  10|    100000|     100|0.79095273|  PASSED
          sts_serial|  10|    100000|     100|0.95654789|  PASSED
          sts_serial|  11|    100000|     100|0.51970986|  PASSED
          sts_serial|  11|    100000|     100|0.30819310|  PASSED
          sts_serial|  12|    100000|     100|0.20607063|  PASSED
          sts_serial|  12|    100000|     100|0.45227783|  PASSED
          sts_serial|  13|    100000|     100|0.16342414|  PASSED
          sts_serial|  13|    100000|     100|0.62139813|  PASSED
          sts_serial|  14|    100000|     100|0.80841573|  PASSED
          sts_serial|  14|    100000|     100|0.10496863|  PASSED
          sts_serial|  15|    100000|     100|0.70330739|  PASSED
          sts_serial|  15|    100000|     100|0.60224989|  PASSED
          sts_serial|  16|    100000|     100|0.48289432|  PASSED
          sts_serial|  16|    100000|     100|0.39662408|  PASSED
# The file file_input_raw was rewound 12 times
         rgb_bitdist|   1|    100000|     100|0.99629473|   WEAK
# The file file_input_raw was rewound 12 times
         rgb_bitdist|   2|    100000|     100|0.70784121|  PASSED
# The file file_input_raw was rewound 12 times
         rgb_bitdist|   3|    100000|     100|0.87215771|  PASSED
# The file file_input_raw was rewound 12 times
         rgb_bitdist|   4|    100000|     100|0.73531577|  PASSED
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   5|    100000|     100|0.69304324|  PASSED
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   6|    100000|     100|0.96925262|  PASSED
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   7|    100000|     100|0.94832217|  PASSED
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   8|    100000|     100|0.39058088|  PASSED
# The file file_input_raw was rewound 15 times
